beet,sucrose.pcnt
1,11.8
2,13.1
3,9.2
4,8.7
5,12.9
6,13.7
7,9.6
8,13.7
9,8.5
10,15.7
11,14.1
12,11.9
13,16.7
14,7.4
15,10
16,4.4
17,13.2
18,13.8
19,9.1
20,11.9
21,12.8
22,15.3
23,12.6
24,16.1
25,17.2
26,13.5
27,11.9
28,16.7
29,9.6
30,15.1
31,14.6
32,10.4
33,13.4
34,14.6
35,10.5
36,8.6
37,15.2
38,11.1
39,14.5
40,12.1
41,14.9
42,15
43,12.1
44,12.6
45,13
46,14.1
47,14.4
48,13.1
49,13.3
50,15
51,10.1
52,12.4
53,10.8
54,11.3
55,6.3
56,15.7
57,14.3
58,15
59,12.5
60,11.8
61,11.6
62,12.2
63,7.5
64,13.4
65,14.7
66,14.2
67,14
68,15.1
69,6.5
70,8.7
71,11
72,13
73,9.2
74,7
75,13.2
76,9
77,14
78,13.2
79,15
80,13.8
81,15.1
82,14.9
83,12.6
84,14.1
85,11.4
86,9.4
87,12.4
88,15
89,9.4
90,12.9
91,13.4
92,10.6
93,6.5
94,11
95,11.9
96,11.8
97,12.6
98,9.5
99,12.2
100,8.2