"","x"
"abind","abind"
"acepack","acepack"
"ade4","ade4"
"ade4TkGUI","ade4TkGUI"
"adegenet","adegenet"
"adegraphics","adegraphics"
"adehabitatHR","adehabitatHR"
"adehabitatHS","adehabitatHS"
"adehabitatLT","adehabitatLT"
"adehabitatMA","adehabitatMA"
"adephylo","adephylo"
"adespatial","adespatial"
"ADGofTest","ADGofTest"
"AER","AER"
"agricolae","agricolae"
"AICcmodavg","AICcmodavg"
"AlgDesign","AlgDesign"
"amap","amap"
"anacor","anacor"
"animation","animation"
"apa","apa"
"apaTables","apaTables"
"apaText","apaText"
"ape","ape"
"arm","arm"
"ash","ash"
"assertthat","assertthat"
"backports","backports"
"BaM","BaM"
"BAMMtools","BAMMtools"
"base","base"
"base64enc","base64enc"
"BatchExperiments","BatchExperiments"
"BatchJobs","BatchJobs"
"bayesm","bayesm"
"bayespref","bayespref"
"BayesVarSel","BayesVarSel"
"BB","BB"
"BBmisc","BBmisc"
"bbmle","bbmle"
"bestglm","bestglm"
"betareg","betareg"
"BH","BH"
"bibtex","bibtex"
"bindr","bindr"
"bindrcpp","bindrcpp"
"binom","binom"
"BiocGenerics","BiocGenerics"
"BiocInstaller","BiocInstaller"
"BiodiversityR","BiodiversityR"
"BioStatR","BioStatR"
"bit","bit"
"bit64","bit64"
"bitops","bitops"
"blme","blme"
"blob","blob"
"BMS","BMS"
"bold","bold"
"bookdown","bookdown"
"boot","boot"
"bootStepAIC","bootStepAIC"
"bootstrap","bootstrap"
"brew","brew"
"broom","broom"
"ca","ca"
"candisc","candisc"
"captioner","captioner"
"car","car"
"carData","carData"
"caret","caret"
"caTools","caTools"
"CCA","CCA"
"cellranger","cellranger"
"checkmate","checkmate"
"chron","chron"
"CircStats","CircStats"
"class","class"
"classInt","classInt"
"cli","cli"
"cluster","cluster"
"clusterGeneration","clusterGeneration"
"clv","clv"
"coda","coda"
"codetools","codetools"
"colorRamps","colorRamps"
"colorspace","colorspace"
"combinat","combinat"
"comparison","comparison"
"compiler","compiler"
"Compositional","Compositional"
"compositions","compositions"
"corpcor","corpcor"
"corrplot","corrplot"
"cowplot","cowplot"
"crayon","crayon"
"crosstalk","crosstalk"
"crul","crul"
"cubature","cubature"
"curl","curl"
"CVST","CVST"
"cvTools","cvTools"
"DAAG","DAAG"
"DAAGbio","DAAGbio"
"DAAGxtras","DAAGxtras"
"data.table","data.table"
"data.tree","data.tree"
"datasets","datasets"
"DBI","DBI"
"ddalpha","ddalpha"
"deldir","deldir"
"DEoptimR","DEoptimR"
"depmixS4","depmixS4"
"deSolve","deSolve"
"devtools","devtools"
"dfoptim","dfoptim"
"diagram","diagram"
"DiagrammeR","DiagrammeR"
"dichromat","dichromat"
"digest","digest"
"dimRed","dimRed"
"diptest","diptest"
"DirichletReg","DirichletReg"
"DiscriMiner","DiscriMiner"
"diseasemapping","diseasemapping"
"dismo","dismo"
"dlm","dlm"
"doBy","doBy"
"doParallel","doParallel"
"dotCall64","dotCall64"
"downloader","downloader"
"dplyr","dplyr"
"dr","dr"
"drc","drc"
"DRR","DRR"
"dsm","dsm"
"dynlm","dynlm"
"e1071","e1071"
"EBImage","EBImage"
"ecodist","ecodist"
"ecoreg","ecoreg"
"effects","effects"
"ellipse","ellipse"
"emmeans","emmeans"
"emplik","emplik"
"energy","energy"
"EnvStats","EnvStats"
"estimability","estimability"
"evaluate","evaluate"
"expm","expm"
"extraDistr","extraDistr"
"ez","ez"
"FactoMineR","FactoMineR"
"fail","fail"
"fansi","fansi"
"faraway","faraway"
"fastDummies","fastDummies"
"fastICA","fastICA"
"fastmatch","fastmatch"
"fda","fda"
"fda.usc","fda.usc"
"fdakma","fdakma"
"fdaMixed","fdaMixed"
"fdasrvf","fdasrvf"
"fdatest","fdatest"
"ff","ff"
"ffbase","ffbase"
"fftwtools","fftwtools"
"fields","fields"
"filehash","filehash"
"flashClust","flashClust"
"flexclust","flexclust"
"flexmix","flexmix"
"FNN","FNN"
"forcats","forcats"
"foreach","foreach"
"forecast","forecast"
"foreign","foreign"
"formatR","formatR"
"Formula","Formula"
"fpc","fpc"
"fracdiff","fracdiff"
"fractal","fractal"
"ftsa","ftsa"
"gam","gam"
"gamlss","gamlss"
"gamlss.add","gamlss.add"
"gamlss.data","gamlss.data"
"gamlss.dist","gamlss.dist"
"gamlss.nl","gamlss.nl"
"gamlss.spatial","gamlss.spatial"
"gamlss.util","gamlss.util"
"gamm4","gamm4"
"gdata","gdata"
"geepack","geepack"
"gender","gender"
"geometry","geometry"
"geoR","geoR"
"geoRglm","geoRglm"
"geostatsp","geostatsp"
"GGally","GGally"
"ggplot2","ggplot2"
"ggrepel","ggrepel"
"ggthemes","ggthemes"
"git2r","git2r"
"glmmML","glmmML"
"glmnet","glmnet"
"glmulti","glmulti"
"glue","glue"
"gmodels","gmodels"
"gmp","gmp"
"goftest","goftest"
"gower","gower"
"gplots","gplots"
"graphics","graphics"
"grDevices","grDevices"
"grid","grid"
"gridBase","gridBase"
"gridExtra","gridExtra"
"growth","growth"
"growthcurver","growthcurver"
"growthmodels","growthmodels"
"grpreg","grpreg"
"gstat","gstat"
"gtable","gtable"
"gtools","gtools"
"haven","haven"
"hdrcde","hdrcde"
"heplots","heplots"
"hexbin","hexbin"
"hflights","hflights"
"HH","HH"
"HiddenMarkov","HiddenMarkov"
"highr","highr"
"Hmisc","Hmisc"
"HMM","HMM"
"hms","hms"
"htmlTable","htmlTable"
"htmltools","htmltools"
"htmlwidgets","htmlwidgets"
"httpcode","httpcode"
"httpuv","httpuv"
"httr","httr"
"ifultools","ifultools"
"igraph","igraph"
"influenceR","influenceR"
"inline","inline"
"intervals","intervals"
"investr","investr"
"ipred","ipred"
"irlba","irlba"
"isotone","isotone"
"iterators","iterators"
"JBTools","JBTools"
"jomo","jomo"
"jpeg","jpeg"
"jsonlite","jsonlite"
"kableExtra","kableExtra"
"kernlab","kernlab"
"KernSmooth","KernSmooth"
"klaR","klaR"
"knitcitations","knitcitations"
"knitr","knitr"
"ks","ks"
"kst","kst"
"labeling","labeling"
"labelled","labelled"
"laeken","laeken"
"Lahman","Lahman"
"landscapeR","landscapeR"
"lasso2","lasso2"
"later","later"
"lattice","lattice"
"latticeExtra","latticeExtra"
"lava","lava"
"lazyeval","lazyeval"
"LCFdata","LCFdata"
"leaps","leaps"
"LearnBayes","LearnBayes"
"lhs","lhs"
"likelihood","likelihood"
"lme4","lme4"
"LMERConvenienceFunctions","LMERConvenienceFunctions"
"lmerTest","lmerTest"
"lmeSplines","lmeSplines"
"lmm","lmm"
"lmodel2","lmodel2"
"lmtest","lmtest"
"locfit","locfit"
"lpSolve","lpSolve"
"lpSolveAPI","lpSolveAPI"
"lsmeans","lsmeans"
"lubridate","lubridate"
"magic","magic"
"magick","magick"
"magrittr","magrittr"
"manipulate","manipulate"
"manipulateWidget","manipulateWidget"
"maps","maps"
"maptools","maptools"
"markdown","markdown"
"MASS","MASS"
"Matrix","Matrix"
"matrixcalc","matrixcalc"
"MatrixModels","MatrixModels"
"maxLik","maxLik"
"mclust","mclust"
"mcmc","mcmc"
"MCMCglmm","MCMCglmm"
"MCMCpack","MCMCpack"
"measurements","measurements"
"memoise","memoise"
"MEMSS","MEMSS"
"meta","meta"
"metafor","metafor"
"metagen","metagen"
"methods","methods"
"mgcv","mgcv"
"mhsmm","mhsmm"
"mi","mi"
"mice","mice"
"mime","mime"
"miniUI","miniUI"
"minpack.lm","minpack.lm"
"minqa","minqa"
"misc3d","misc3d"
"miscTools","miscTools"
"mitml","mitml"
"mixcat","mixcat"
"mixture","mixture"
"mnormt","mnormt"
"ModelMetrics","ModelMetrics"
"modeltools","modeltools"
"modEvA","modEvA"
"modmarg","modmarg"
"Morpho","Morpho"
"MPV","MPV"
"mrds","mrds"
"msm","msm"
"mstate","mstate"
"multcomp","multcomp"
"multcompView","multcompView"
"multicool","multicool"
"MuMIn","MuMIn"
"munsell","munsell"
"mvnormtest","mvnormtest"
"mvoutlier","mvoutlier"
"mvtnorm","mvtnorm"
"NADA","NADA"
"natserv","natserv"
"nlme","nlme"
"nlmeU","nlmeU"
"nloptr","nloptr"
"NLP","NLP"
"NMF","NMF"
"nnet","nnet"
"nnls","nnls"
"nortest","nortest"
"numDeriv","numDeriv"
"OpenImageR","OpenImageR"
"openNLP","openNLP"
"openNLPdata","openNLPdata"
"openssl","openssl"
"openxlsx","openxlsx"
"optextras","optextras"
"optimx","optimx"
"ore","ore"
"OutlierDC","OutlierDC"
"outliers","outliers"
"packrat","packrat"
"pan","pan"
"pander","pander"
"parallel","parallel"
"ParamHelpers","ParamHelpers"
"patternize","patternize"
"pbkrtest","pbkrtest"
"pcaPP","pcaPP"
"permute","permute"
"phylobase","phylobase"
"pillar","pillar"
"pkgconfig","pkgconfig"
"pkgmaker","pkgmaker"
"PKI","PKI"
"plogr","plogr"
"plot3D","plot3D"
"plotly","plotly"
"plotrix","plotrix"
"pls","pls"
"plyr","plyr"
"png","png"
"polspline","polspline"
"polyclip","polyclip"
"pps","pps"
"prabclus","prabclus"
"pracma","pracma"
"praise","praise"
"PredictiveRegression","PredictiveRegression"
"prettyunits","prettyunits"
"processx","processx"
"prodlim","prodlim"
"progress","progress"
"promises","promises"
"proto","proto"
"proxy","proxy"
"ps","ps"
"pscl","pscl"
"PST","PST"
"psych","psych"
"purrr","purrr"
"pwr","pwr"
"qdap","qdap"
"qdapDictionaries","qdapDictionaries"
"qdapRegex","qdapRegex"
"qdapTools","qdapTools"
"quadprog","quadprog"
"quantmod","quantmod"
"quantreg","quantreg"
"questionr","questionr"
"R.methodsS3","R.methodsS3"
"R.oo","R.oo"
"R.utils","R.utils"
"R6","R6"
"rainbow","rainbow"
"randomcoloR","randomcoloR"
"RandomFields","RandomFields"
"RandomFieldsUtils","RandomFieldsUtils"
"randomForest","randomForest"
"RANN","RANN"
"raster","raster"
"Rcgmin","Rcgmin"
"Rcmdr","Rcmdr"
"RcmdrMisc","RcmdrMisc"
"RcmdrPlugin.FactoMineR","RcmdrPlugin.FactoMineR"
"RcmdrPlugin.KMggplot2","RcmdrPlugin.KMggplot2"
"RcmdrPlugin.TeachingDemos","RcmdrPlugin.TeachingDemos"
"RColorBrewer","RColorBrewer"
"Rcpp","Rcpp"
"RcppArmadillo","RcppArmadillo"
"RcppEigen","RcppEigen"
"RcppGSL","RcppGSL"
"RcppRoll","RcppRoll"
"RcppZiggurat","RcppZiggurat"
"RCurl","RCurl"
"readr","readr"
"readstata13","readstata13"
"readxl","readxl"
"recipes","recipes"
"RefManageR","RefManageR"
"registry","registry"
"relations","relations"
"relimp","relimp"
"rematch","rematch"
"rentrez","rentrez"
"reports","reports"
"reshape","reshape"
"reshape2","reshape2"
"Rfast","Rfast"
"rgdal","rgdal"
"rgeos","rgeos"
"rgexf","rgexf"
"rgl","rgl"
"rgr","rgr"
"RGraphics","RGraphics"
"rio","rio"
"ritis","ritis"
"rjags","rjags"
"rJava","rJava"
"RJSONIO","RJSONIO"
"rlang","rlang"
"RLRsim","RLRsim"
"rmarkdown","rmarkdown"
"Rmpfr","Rmpfr"
"rms","rms"
"rmutil","rmutil"
"rncl","rncl"
"RNeXML","RNeXML"
"rngtools","rngtools"
"RNifti","RNifti"
"RNiftyReg","RNiftyReg"
"robCompositions","robCompositions"
"robustbase","robustbase"
"robustreg","robustreg"
"Rook","Rook"
"rotl","rotl"
"rpart","rpart"
"rprojroot","rprojroot"
"rrcov","rrcov"
"rredlist","rredlist"
"rsconnect","rsconnect"
"Rsolnp","Rsolnp"
"RSQLite","RSQLite"
"rstan","rstan"
"rstudioapi","rstudioapi"
"Rtsne","Rtsne"
"Rvcg","Rvcg"
"rvest","rvest"
"Rvmmin","Rvmmin"
"safeBinaryRegression","safeBinaryRegression"
"sampling","sampling"
"samplingbook","samplingbook"
"sandwich","sandwich"
"sapa","sapa"
"scales","scales"
"scatterplot3d","scatterplot3d"
"sciplot","sciplot"
"sde","sde"
"sdm","sdm"
"SDMTools","SDMTools"
"segmented","segmented"
"selectr","selectr"
"sem","sem"
"semdiag","semdiag"
"semGOF","semGOF"
"semPLS","semPLS"
"sendmailR","sendmailR"
"seqinr","seqinr"
"setRNG","setRNG"
"sets","sets"
"sf","sf"
"sfsmisc","sfsmisc"
"sgeostat","sgeostat"
"shape","shape"
"shapefiles","shapefiles"
"shiny","shiny"
"simecol","simecol"
"simr","simr"
"slam","slam"
"sm","sm"
"sn","sn"
"SnowballC","SnowballC"
"solrium","solrium"
"sos","sos"
"sourcetools","sourcetools"
"sp","sp"
"spacetime","spacetime"
"spam","spam"
"SparseM","SparseM"
"spatial","spatial"
"spatialCovariance","spatialCovariance"
"spatialEco","spatialEco"
"SpatialPack","SpatialPack"
"spatstat","spatstat"
"spatstat.data","spatstat.data"
"spatstat.utils","spatstat.utils"
"spData","spData"
"spdep","spdep"
"splancs","splancs"
"splines","splines"
"splus2R","splus2R"
"spTimer","spTimer"
"SQUAREM","SQUAREM"
"sROC","sROC"
"StanHeaders","StanHeaders"
"statmod","statmod"
"stats","stats"
"stats4","stats4"
"stringdist","stringdist"
"stringi","stringi"
"stringr","stringr"
"survey","survey"
"survival","survival"
"svDialogs","svDialogs"
"svDialogstcltk","svDialogstcltk"
"svGUI","svGUI"
"svUnit","svUnit"
"swirl","swirl"
"tableplot","tableplot"
"tables","tables"
"tabplot","tabplot"
"tabplotd3","tabplotd3"
"taxize","taxize"
"tcltk","tcltk"
"tcltk2","tcltk2"
"TeachingDemos","TeachingDemos"
"tensor","tensor"
"tensorA","tensorA"
"tester","tester"
"testthat","testthat"
"TH.data","TH.data"
"tibble","tibble"
"tidyr","tidyr"
"tidyselect","tidyselect"
"tiff","tiff"
"timeDate","timeDate"
"tinytex","tinytex"
"tkrplot","tkrplot"
"tm","tm"
"tools","tools"
"TraMineR","TraMineR"
"tree","tree"
"triebeard","triebeard"
"trimcluster","trimcluster"
"trip","trip"
"truncnorm","truncnorm"
"tseries","tseries"
"TTR","TTR"
"turner","turner"
"ucminf","ucminf"
"units","units"
"unmarked","unmarked"
"urca","urca"
"urltools","urltools"
"uroot","uroot"
"utf8","utf8"
"utils","utils"
"uuid","uuid"
"V8","V8"
"vcd","vcd"
"vegan","vegan"
"venneuler","venneuler"
"VGAM","VGAM"
"VIM","VIM"
"viridis","viridis"
"viridisLite","viridisLite"
"visNetwork","visNetwork"
"visreg","visreg"
"webshot","webshot"
"whisker","whisker"
"WikidataR","WikidataR"
"WikipediR","WikipediR"
"wikitaxa","wikitaxa"
"withr","withr"
"wmtsa","wmtsa"
"wordcloud","wordcloud"
"worrms","worrms"
"xfun","xfun"
"xlsx","xlsx"
"xlsxjars","xlsxjars"
"XML","XML"
"xml2","xml2"
"XML2R","XML2R"
"xmlparsedata","xmlparsedata"
"xtable","xtable"
"xts","xts"
"yaImpute","yaImpute"
"yaml","yaml"
"zCompositions","zCompositions"
"zip","zip"
"zoo","zoo"
